Time,w_f_0,F_0,N1_0
119.35,0,1.75846153846154,33230
119.4,0,1.76807692307692,33240
119.45,0,1.77776699029126,33230
119.5,0,1.78747572815534,33210
119.55,0,1.79359223300971,33200
119.6,0,1.79844660194175,33200
119.65,0,1.79669902912621,33200.2
119.7,0,1.79184466019417,33209.8
119.75,0,1.7778431372549,33200
119.8,0,1.75823529411764,33200
119.85,0,1.75557692307693,33200
119.9,0,1.76519230769231,33200
119.95,0,1.76514563106796,33210
120,0,1.75543689320388,33210
120.05,0,1.75,33210
120.1,0,1.75,33210
120.15,0,1.75333333333334,33230
120.2,0,1.76313725490196,33230
120.25,0,1.77,33230
120.3,0,1.77,33210
120.35,0,1.77,33210
120.4,0,1.77,33210.4
120.45,0,1.76769230769231,33230
120.5,0,1.75326923076923,33230
120.55,0,1.74116504854369,33230.2
120.6,0,1.75572815533981,33239.8
120.65,0,1.77,33230
120.7,0,1.77,33230
120.75,0,1.77,33230.2
120.8,0,1.77,33240
120.85,0,1.77,33240
120.9,0,1.77857142857143,33240
120.95,0,1.78809523809524,33240.8
121,0,1.79,33279.6
121.05,0,1.79,33260
121.1,0,1.78269230769231,33259.6
121.15,0,1.77307692307692,33240.3921568627
121.2,0,1.76333333333333,33260
121.25,0,1.75352941176471,33260
121.3,0,1.74695238095238,33259.6
121.35,0,1.74219047619048,33240
121.4,0,1.74,33240
121.45,0,1.74,33240
121.5,0,1.74728155339806,33240
121.55,0,1.76184466019418,33240.4
121.6,0,1.76580952380952,33260
121.65,0,1.75628571428571,33260
121.7,0,1.75333333333333,33260
121.75,0,1.76313725490196,33259.6
121.8,0,1.76708737864077,33240.4
121.85,0,1.7573786407767,33260
121.9,0,1.74884615384615,33260
121.95,0,1.74403846153846,33259.6
122,0,1.74233009708738,33240
122.05,0,1.7568932038835,33239.8
122.1,0,1.76904761904762,33229.6
122.15,0,1.75952380952381,33210
122.2,0,1.75,33210
122.25,0,1.75,33200
122.3,0,1.75,33199.6
122.35,0,1.75923076923077,33180
122.4,0,1.76884615384615,33179.6
122.45,0,1.77,33160
122.5,0,1.77,33159.8
122.55,0,1.77,33150
122.6,0,1.77,33149.6
122.65,0,1.77730769230769,33130
122.7,0,1.78692307692308,33130
122.75,0,1.78339805825243,33130.3921568627
122.8,0,1.77368932038835,33150
122.85,0,1.76403846153846,33150
122.9,0,1.75442307692308,33150
122.95,0,1.75529411764706,33149.6
123,0,1.76509803921569,33130.4
123.05,0,1.76514563106796,33149.6
123.1,0,1.75543689320388,33130
123.15,0,1.75419047619048,33130.4
123.2,0,1.76371428571429,33149.6
123.25,0,1.76504854368932,33130
123.3,0,1.7504854368932,33130
123.35,0,1.73320388349514,33130
123.4,0,1.70893203883495,33130
123.45,0,1.69533980582525,33130.4
123.5,0,1.71961165048544,33149.6
123.55,0,1.74076923076923,33130
123.6,0,1.74557692307692,33130.4
123.65,0,1.75076190476191,33149.6
123.7,0,1.76028571428571,33130
123.75,0,1.76980952380952,33130
123.8,0,1.77970297029703,33130
123.85,0,1.78960396039604,33130
123.9,0,1.79,33129.8
123.95,0,1.79,33120
124,0,1.78134615384615,33119.6
124.05,0,1.77173076923077,33100
124.1,0,1.76203883495146,33100
124.15,0,1.75233009708738,33100
124.2,0,1.74634615384615,33100
